Product,Rating,Title,Review,Brand,Line,RatingNumeric,HairPattern,HairDensity,ScalpCondition,HairConcerns
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,not crunchy,i have coarse curly biracial hair. this leaves my curls defined and shiny and soft.  it does smell like lemon cake which is ok even though i prefer clean scents as opposed to food smells but it fades upon drying.,Cake Beauty,Hair,5,curly,fine,,"dryness, shine"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,i like the consistancy.,i like that it comes out of the bottle more smoothly unlike other products that are too thick or to loose.,Cake Beauty,Hair,5,straight,thick,dry scalp,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,3.0 out of 5 stars,it’s ok,"i loved the smell and softness, but it flakes in my hair really bad, even with the tiniest amount.",Cake Beauty,Hair,3,4c,medium,flaky scalp,"frizz, dryness"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,fabulous,this actually calms my frizzy grey hair. the texture is soft and not crunchy. it even looks good the next day with zero effort.,Cake Beauty,Hair,5,4c,fine,,frizz
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,give it a try!,"love this product for keeping my curls freeze free and soft! the only thing i don't like is the smell but it's not noticeable once u put it in your hair. i like it way better than the ""strictly curls"" mouse i used to use.",Cake Beauty,Hair,5,curly,fine,,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,delicious,"i’m not kidding i love this smell!!! lemon cake! smell is amazing. i love using this product. it is not too heavy, my curls respond nicely to it. just a great product!",Cake Beauty,Hair,5,curly,thick,dry scalp,
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,4.0 out of 5 stars,curl definition,easy to apply.  provides good definition of my curls with some smoothness to boot. it refreshes the next day with a water spray bottle.,Cake Beauty,Hair,4,straight,fine,,shine
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,4.0 out of 5 stars,smells amazing,after reading all the great reviews on this i had to give it a try. the smell is amazing just like vanilla cake! it is a bit too thick and heavy for my hair leaving it feeling somewhat greasy.,Cake Beauty,Hair,4,4a,thick,oily scalp,"volume, frizz"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,2.0 out of 5 stars,product came damaged and leaking,i haven’t even used it yet. the product came leaking. might post another review after i try the product.,Cake Beauty,Hair,2,wavy,medium,sensitive scalp,"breakage, volume, color-treated, shine"
Cake Beauty Curl Friend Defining Curl Cream - Bounce Curly Hair Styling Product & Anti Frizz Control Heat Protectant for Hair Detangler – Cruelty Free & Vegan,5.0 out of 5 stars,taming the friz from natural curly hair.,the sent could be better but it is the best for frizz from very curly hair. now shows curls not frizz. will definitely buy over and over.,Cake Beauty,Hair,5,curly,medium,,frizz
